#Acceptor              DonorH          Donor   Frames         Frac      AvgDist       AvgAng
ULL_6@O2              ULL_5@H       ULL_5@N1       67       0.0002       2.8762     160.4852
ALP_20@O1          ALP_20@H22      ALP_20@O2       61       0.0002       2.5663     138.3354
ULL_1@O1              ULL_5@H       ULL_5@N1       55       0.0002       2.8935     155.0883
ULL_15@O           ALP_20@H22      ALP_20@O2       51       0.0002       2.7070     160.5814
ULL_9@O1              ULL_2@H       ULL_2@N1       47       0.0002       2.9017     147.5582
ULL_11@O3          ULL_10@H27       ULL_10@N       46       0.0002       2.8696     159.3953
ULL_9@O3            ULL_6@H27        ULL_6@N       41       0.0001       2.8469     160.5462
ULL_5@O1           ULL_12@H27       ULL_12@N       41       0.0001       2.8748     152.6907
ULL_1@O3             ULL_11@H      ULL_11@N1       39       0.0001       2.9071     161.7229
ULL_5@O            ULL_12@H27       ULL_12@N       37       0.0001       2.9141     163.5894
ULL_13@O3          ULL_16@H27       ULL_16@N       33       0.0001       2.8503     162.7296
ULL_13@O2          ULL_16@H27       ULL_16@N       31       0.0001       2.8899     164.6404
ULL_13@O           ULL_12@H27       ULL_12@N       30       0.0001       2.8789     149.5866
ULL_14@O1            ULL_18@H      ULL_18@N1       30       0.0001       2.9282     156.3030
ULL_9@O2              ULL_2@H       ULL_2@N1       26       0.0001       2.9121     160.8574
ULL_6@O2            ULL_5@H27        ULL_5@N       25       0.0001       2.8479     149.3708
ULL_3@O               ULL_7@H       ULL_7@N1       22       0.0001       2.9041     153.0970
ULL_17@O3          ULL_13@H27       ULL_13@N       21       0.0001       2.8640     165.2653
ULL_12@O2           ULL_5@H27        ULL_5@N       21       0.0001       2.8660     148.0097
ALP_20@O2          ULL_18@H27       ULL_18@N       21       0.0001       2.9152     148.4792
ALP_20@O2          ULL_19@H27       ULL_19@N       21       0.0001       2.9228     157.5824
ULL_5@O3           ULL_12@H27       ULL_12@N       18       0.0001       2.9093     161.0234
ULL_11@O            ULL_7@H27        ULL_7@N       17       0.0001       2.9117     166.1589
ULL_14@O             ULL_17@H      ULL_17@N1       16       0.0001       2.8870     163.2763
